Departamento,Municipio,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,
Quetzaltenango,Colomba,"39,822","40,040","40,254","40,467","40,684","40,894","41,089","41,261","41,416","41,558","41,680","41,776","41,838",,,
Quetzaltenango,San Francisco la Unión,"7,532","7,565","7,596","7,628","7,660","7,690","7,718","7,742","7,762","7,779","7,793","7,802","7,805",,,
Quetzaltenango,El Palmar,"26,660","27,205","27,756","28,319","28,894","29,475","30,056","30,631","31,203","31,776","32,344","32,900","33,439",,,
Quetzaltenango,Coatepeque,"117,451","120,871","124,373","127,973","131,684","135,476","139,323","143,196","147,111","151,088","155,097","159,108","163,090",,,
Quetzaltenango,Génova,"36,968","37,908","38,867","39,848","40,856","41,882","42,917","43,951","44,991","46,041","47,093","48,137","49,165",,,
Quetzaltenango,Flores Costa Cuca,"24,542","25,300","26,078","26,880","27,707","28,554","29,416","30,286","31,168","32,066","32,974","33,885","34,793",,,
Quetzaltenango,La Esperanza,"22,035","23,243","24,512","25,851","27,264","28,748","30,302","31,921","33,612","35,381","37,225","39,140","41,120",,,
Quetzaltenango,Palestina de los Altos,"12,472","12,597","12,721","12,846","12,973","13,099","13,220","13,335","13,445","13,552","13,653","13,746","13,828",,,
Suchitepequez,Mazatenango,"83,013","85,628","88,333","91,140","94,054","97,059","100,138","103,276","106,484","109,774","113,129","116,532","119,964",,,
Suchitepequez,Cuyotenango,"48,653","49,739","50,853","52,002","53,187","54,397","55,623","56,855","58,099","59,360","60,630","61,897","63,153",,,
Suchitepequez,San Francisco Zapotitlán,"18,177","18,492","18,814","19,146","19,487","19,833","20,182","20,528","20,875","21,225","21,573","21,917","22,253",,,
Suchitepequez,San Bernardino,"15,635","16,416","17,238","18,105","19,018","19,978","20,981","22,026","23,117","24,258","25,447","26,682","27,960",,,
Suchitepequez,San José el Idolo,"8,664","8,813","8,966","9,123","9,285","9,449","9,614","9,779","9,943","10,109","10,274","10,436","10,595",,,
Suchitepequez,Santo Domingo Suchitepéquez,"34,563","34,929","35,303","35,687","36,081","36,480","36,875","37,260","37,638","38,015","38,383","38,737","39,070",,,
Suchitepequez,San Lorenzo,"11,415","11,639","11,869","12,106","12,350","12,598","12,849","13,100","13,352","13,607","13,862","14,115","14,364",,,
Suchitepequez,Samayac,"20,180","20,540","20,908","21,287","21,677","22,074","22,473","22,870","23,268","23,670","24,070","24,466","24,853",,,
Suchitepequez,San Pablo Jocopilas,"18,560","18,914","19,275","19,648","20,031","20,421","20,815","21,208","21,603","22,001","22,400","22,795","23,183",,,
Suchitepequez,San Antonio Suchitepéquez,"45,560","46,687","47,846","49,043","50,279","51,545","52,832","54,130","55,445","56,784","58,135","59,491","60,842",,,
Suchitepequez,San Miguel Panán,"7,995","8,119","8,244","8,373","8,506","8,641","8,776","8,909","9,043","9,176","9,309","9,439","9,566",,,
Suchitepequez,San Gabriel,"5,171","5,352","5,539","5,734","5,938","6,148","6,364","6,586","6,813","7,047","7,287","7,531","7,779",,,
Suchitepequez,Chicacao,"48,353","49,148","49,961","50,797","51,656","52,528","53,404","54,274","55,144","56,018","56,888","57,744","58,577",,,
Suchitepequez,Patulul,"37,128","38,204","39,314","40,464","41,655","42,881","44,133","45,404","46,700","48,025","49,371","50,732","52,098",,,
Suchitepequez,Santa Bárbara,"21,748","22,242","22,749","23,273","23,812","24,363","24,922","25,484","26,052","26,628","27,208","27,788","28,362",,,
Suchitepequez,San Juan Bautista,"8,566","8,943","9,338","9,752","10,187","10,640","11,111","11,599","12,105","12,631","13,176","13,737","14,314",,,
Suchitepequez,Santo Tomás la Unión,"11,157","11,409","11,668","11,935","12,211","12,493","12,778","13,065","13,355","13,649","13,945","14,240","14,534",,,
Suchitepequez,Zunilito,"6,770","6,993","7,223","7,463","7,711","7,968","8,232","8,501","8,777","9,060","9,349","9,643","9,940",,,
Suchitepequez,Pueblo Nuevo,"10,299","10,522","10,750","10,986","11,228","11,476","11,727","11,979","12,232","12,490","12,748","13,006","13,261",,,
Suchitepequez,Rio Bravo,"19,438","19,752","20,073","20,403","20,743","21,087","21,432","21,775","22,118","22,462","22,804","23,141","23,468",,,
Retalhuleu,Retalhuleu,"80,450","81,938","83,452","85,003","86,596","88,212","89,832","91,439","93,044","94,658","96,263","97,841","99,375",,,
Retalhuleu,San Sebastián,"25,891","26,508","27,139","27,789","28,458","29,141","29,832","30,525","31,224","31,932","32,644","33,353","34,054",,,
Retalhuleu,Santa Cruz Muluá,"12,253","12,490","12,731","12,979","13,233","13,491","13,750","14,008","14,265","14,525","14,783","15,038","15,287",,,
Retalhuleu,San Martín Zapotitlán,"10,202","10,516","10,839","11,174","11,520","11,877","12,241","12,610","12,986","13,370","13,761","14,155","14,550",,,
Retalhuleu,San Felipe,"22,125","22,855","23,609","24,391","25,202","26,038","26,894","27,765","28,654","29,566","30,496","31,438","32,385",,,
Retalhuleu,San Andrés Villa Seca,"36,376","36,917","37,466","38,026","38,601","39,181","39,759","40,326","40,888","41,449","42,002","42,538","43,051",,,
Retalhuleu,Champerico,"31,506","32,435","33,391","34,378","35,400","36,449","37,519","38,602","39,703","40,827","41,967","43,115","44,263",,,
Retalhuleu,Nuevo San Carlos,"30,129","30,565","31,006","31,457","31,920","32,387","32,851","33,306","33,756","34,206","34,648","35,076","35,485",,,
Retalhuleu,El Asintal,"35,428","36,571","37,751","38,972","40,239","41,543","42,878","44,235","45,620","47,038","48,482","49,943","51,412",,,
San Marcos,San Marcos,"46,065","47,466","48,919","50,437","52,019","53,648","55,304","56,971","58,660","60,383","62,122","63,858","65,571",,,
San Marcos,San Pedro Sacatepéquez,"65,069","66,058","67,075","68,136","69,236","70,350","71,452","72,519","73,567","74,611","75,627","76,593","77,487",,,
San Marcos,San Antonio Sacatepéquez,"18,105","18,596","19,103","19,633","20,184","20,749","21,321","21,892","22,469","23,055","23,643","24,225","24,795",,,
San Marcos,Comitancillo,"56,456","57,884","59,359","60,897","62,495","64,131","65,783","67,428","69,082","70,758","72,434","74,088","75,697",,,
San Marcos,San Miguel Ixtahuacán,"34,035","34,647","35,276","35,933","36,613","37,303","37,992","38,664","39,330","39,997","40,653","41,285","41,881",,,
San Marcos,Concepción Tutuapa,"55,357","56,196","57,060","57,960","58,894","59,839","60,775","61,680","62,569","63,454","64,316","65,136","65,894",,,
San Marcos,Tacaná,"71,674","72,939","74,241","75,598","77,004","78,432","79,853","81,241","82,614","83,988","85,338","86,637","87,860",,,
San Marcos,Sibinal,"15,168","15,433","15,706","15,991","16,286","16,585","16,883","17,174","17,462","17,750","18,032","18,304","18,559",,,
San Marcos,Tajumulco,"50,989","52,366","53,791","55,277","56,823","58,409","60,014","61,619","63,236","64,880","66,528","68,162","69,760",,,
San Marcos,Tejutla,"31,139","31,624","32,123","32,644","33,184","33,730","34,272","34,797","35,313","35,827","36,329","36,807","37,251",,,
San Marcos,San Rafael Pie de La Cuesta,"14,735","14,968","15,207","15,457","15,716","15,978","16,238","16,491","16,739","16,986","17,228","17,458","17,673",,,
San Marcos,Nuevo Progreso,"32,801","33,754","34,742","35,774","36,849","37,954","39,075","40,201","41,339","42,498","43,666","44,829","45,972",,,
San Marcos,El Tumbador,"39,405","39,953","40,517","41,105","41,715","42,332","42,941","43,526","44,098","44,667","45,218","45,737","46,212",,,
San Marcos,El Rodeo,"15,939","16,193","16,454","16,727","17,009","17,295","17,579","17,854","18,125","18,395","18,659","18,911","19,146",,,
San Marcos,Malacatán,"92,034","95,116","98,320","101,675","105,178","108,795","112,490","116,227","120,030","123,926","127,877","131,843","135,785",,,
San Marcos,Catarina,"30,906","31,815","32,757","33,742","34,767","35,821","36,893","37,968","39,056","40,165","41,283","42,396","43,492",,,
San Marcos,Ayutla,"34,056","34,999","35,977","36,996","38,057","39,146","40,249","41,354","42,468","43,602","44,741","45,871","46,978",,,
San Marcos,Ocós,"37,889","39,142","40,445","41,808","43,231","44,700","46,200","47,715","49,257","50,835","52,435","54,040","55,633",,,
San Marcos,San Pablo,"46,703","48,170","49,694","51,287","52,948","54,659","56,403","58,160","59,943","61,765","63,606","65,448","67,270",,,
San Marcos,El Quetzal,"21,821","22,218","22,627","23,053","23,495","23,944","24,391","24,829","25,262","25,697","26,124","26,536","26,925",,,
San Marcos,La Reforma,"15,140","15,225","15,314","15,410","15,512","15,613","15,708","15,793","15,870","15,944","16,009","16,061","16,095",,,
San Marcos,Pajapita,"21,392","22,086","22,807","23,562","24,349","25,161","25,989","26,826","27,676","28,545","29,426","30,308","31,182",,,
San Marcos,Ixchiguán,"25,623","26,383","27,171","27,995","28,852","29,734","30,631","31,531","32,443","33,372","34,309","35,243","36,163",,,
San Marcos,San José Ojetenam,"18,606","18,895","19,192","19,502","19,824","20,149","20,472","20,784","21,092","21,398","21,697","21,981","22,245",,,
San Marcos,San Cristóbal Cucho,"15,665","15,908","16,158","16,419","16,689","16,963","17,234","17,497","17,755","18,013","18,264","18,503","18,725",,,
San Marcos,Sipacapa,"16,774","17,158","17,554","17,967","18,396","18,834","19,274","19,711","20,147","20,588","21,027","21,458","21,873",,,
San Marcos,Esquipulas Palo Gordo,"10,576","10,855","11,143","11,444","11,757","12,077","12,401","12,725","13,050","13,381","13,712","14,040","14,360",,,
San Marcos,Río Blanco,"5,335","5,400","5,468","5,539","5,612","5,686","5,759","5,829","5,896","5,963","6,027","6,087","6,140",,,
