LON,LAT
-90.0889,14.75373
-90.455393,14.511538
-89.287278,14.782639
-90.6423,14.60339
-90.47832,14.65104
-91.763136,14.969361
-91.542995,14.95887
-91.508464,14.836967
-91.508464,14.836967
-90.63603,14.41439
-90.496611,14.568111
-90.3075,15.480667
-91.05566,15.665468
-91.360278,14.921111
-91.360278,14.921111
-89.49574,14.73405
-90.039194,14.309139
-90.40913,14.6422
-90.51391,14.64773
-90.592174,14.549788
-90.460417,14.543472
-90.486693,14.583899
-92.108498,15.303279
-90.740469,15.891893
-90.91828,14.83189
-89.813814,15.409478
-90.49785,14.55371
-90.78961,14.31664
-92.07353,15.1495
-91.06086,14.1121
-90.540284,14.616438
-90.46261,14.56784
-90.485444,14.689767
-88.78142,15.52764
-89.99993,14.62875
-91.549774,14.983268
-90.444861,14.678236
-90.44486,14.67824
-89.15353,17.06841
-90.51479,14.63512
-90.51479,14.63512
-90.313,15.472111
-90.054184,14.278928
-90.72999,14.56991
-91.298762,14.188274
-89.387275,14.818007
-91.41863,15.34107
-90.561226,14.843888
-91.93489,15.162558
-89.495736,14.73405
-90.496631,14.584054
-90.60347,14.60772
-90.50511,14.62235
-90.052088,14.499611
-90.85345,15.16739
-90.853446,15.16739
-89.36846,16.10807
-91.586797,14.622026
-91.500919,14.850449
-91.500919,14.850449
-90.44438,14.57438
-92.042806,14.911278
-91.883915,15.711473
-90.63275,15.38897
-90.63275,15.38897
-89.464434,14.455328
-92.127417,14.879417
-91.30887,14.03672
-90.625344,14.587098
-91.763136,14.969361
-90.69508,14.57737
-89.95972,14.91847
-90.51849,14.6455
-90.48965,14.58871
-89.37411,15.11531
-89.92015,16.96934
-90.582863,14.890887
-90.582863,14.890887
-91.57178,15.60908
-90.54157,16.83443
-90.62808,14.49075
-90.12325,14.76289
-90.64278,16.51733
-90.60617051,14.51192688
-90.47656,14.65802
-90.416728,14.671739
-90.4165,14.67175
-90.464864,13.886128
-91.48928,14.80787
-89.878,14.93823
-90.29276,16.66554
-90.522712,14.63865
-90.72717,13.93795
-89.4997,14.86092
-89.555748,14.78781
-90.520268,14.60505
-90.72715,14.55934
-90.504285,14.583524
-90.51091,14.61501
-91.31957,14.39962
-90.01756,14.86217
-90.61055,14.62887
-89.534674,14.967878
-91.50744,14.84146
-91.583244,14.887368
-90.371028,14.463278
-90.50852,14.53427
-90.56742,14.52489
-90.791415,14.64344
-91.73674,15.17581
-90.645954,14.687128
-89.80267,14.97631
-89.802674,14.976305
-90.48126,14.56665
-90.66389,14.14289
-90.52354,14.53945
-90.122003,14.652583
-90.499918,14.620339
-90.79387,14.79327
-91.77594,14.67694
-90.13669,14.55872
-91.557814,14.648938
-91.089995,15.345725
-90.56467,14.62119
-90.980417,17.258611
-90.98042,17.25861
-90.02255,14.91627
-89.57103,14.73442
-90.62026,14.490243
-91.30868,14.18925
-90.5672,14.50178
-91.538774,14.820359
-90.793407,14.314812
-90.54147,14.65753
-90.59335,14.63468
-90.593339,14.634682
-90.520324,14.577548
-91.96733,15.23589
-90.70296,14.40378
-90.520855,14.592468
-90.539864,14.597327
-91.663693,15.681503
-90.105789,14.580167
-90.55062,14.53223
-90.394421,14.537805
-90.430424,14.536558
-91.433434,15.691608
-90.79797,14.28519
-91.538774,14.820359
-91.584665,14.579502
-90.467842,14.670633
-90.46785,14.67062
-91.9445,15.40699
-92.07353,15.1495
-90.19026,14.52486
-89.62485,14.787067
-89.62485,14.78707
-90.793407,14.314812
-90.56853,14.634
-89.42867,16.34139
-90.843093,14.180853
-90.60594,14.51194
-89.171833,14.625806
-89.491,15.32736
-89.331,15.53203
-90.561874,14.630428
-90.58495,14.50648
-90.5471,14.51819
-90.5471,14.51819
-90.46803,14.65103
-90.50852,14.53427
-90.569278,14.652446
-90.462504,14.559333
-89.98672,14.64102
-90.37355,15.473598
-90.37355,15.473598
-90.53483,14.6835
-90.940814,15.176058
-90.456972,14.93575
-92.08385,14.54125
-91.498138,14.885152
-91.132291,15.435391
-89.82508,16.805836
-90.54588,14.68254
-90.55977,14.55462
-90.564167,14.586667
-91.540667,14.64825
-89.527333,14.970833
-89.527333,14.970833
-90.3988,14.61187
-90.20658,16.86581
-90.206583,16.865806
-89.18067,14.71742
-90.6826,14.4056
-90.76634551,14.38914077
-90.30304,14.78142
-88.975776,15.402253
-90.819864,15.956788
-91.22334,15.05453
-91.31963,15.80634
-91.471008,14.863472
-90.69785,14.40482
-89.01331,15.66478
-90.44486,14.67824
-90.62807,14.490744
-90.62807,14.490744
-90.62808,14.49075
-89.586805,15.049779
-89.586805,15.049779
-89.586805,15.049779
-91.679884,14.533558
-90.91828,14.83189
-90.121946,14.652361
-90.7825,14.32251
-90.54592,14.67707
-90.54592,14.67707
-89.644162,15.400246
-91.58622,14.85842
-91.35898,14.845
-92.06075,14.413383
-91.22814,15.04825
-89.61532,16.05032
-89.976633,14.538617
-90.294443,14.565184
-89.353814,14.561978
-89.86228,14.90822
-91.32956,14.50856
-90.73823,14.52822
-91.56075,14.85252
-90.679889,14.63475
-90.56928,14.65245
-90.569278,14.652446
-89.586805,15.049779
-91.443304,14.909338
-91.443304,14.909338
-90.568387,14.640701
-90.478014,14.561378
-90.452608,14.55208
-91.432028,14.848944
-91.432028,14.848944
-91.432028,14.848944
-89.964639,14.905861
-90.449039,14.5446
-90.356856,14.301132
-90.356975,14.301132
-90.56218,14.55957
-91.59675,14.62436
-91.368,14.897917
-91.368,14.897917
-91.93561,14.863279
-91.448194,14.816476
-90.398969,14.506972
-90.398969,14.506972
-90.640207,14.671335
-91.607824,14.594938
-91.333224,14.840208
-90.562183,14.559567
-91.54922,14.884003
-91.54922,14.884003
-90.672214,14.634678
-91.448834,14.910518
-91.448834,14.910518
-89.338571,14.553895
-90.69118,14.40717
-90.557833,14.601983
-91.78876,14.92028
-90.59846,14.52023
-90.59846,14.52023
-89.498144,14.719182
-89.498144,14.719182
-90.55184,14.58689
-90.38316,14.07146
-89.583774,14.724101
-92.090744,14.887318
-90.532777,14.775079
-90.621504,14.619648
-90.53975,14.544945
-90.53975,14.54495
-90.40838,14.67999
-90.40838,14.67999
-90.55896,14.62614
-90.301972,13.921528
-88.84234,15.47763
-90.56107,14.50437
-90.561074,14.504368
-90.16861,14.48511
-91.987052,14.70172
-91.98705,14.70172
-89.62485,14.787067
-89.433361,14.718417
-89.334384,14.560768
-90.52159,14.616
-90.973724,14.307908
-89.6187,14.619552
-90.4647,16.065111
-90.626927,15.108995
-90.48888,14.47947
-90.67829,14.60308
-91.872222,14.934972
-91.86203,15.515725
-91.0381,15.3274
-91.973694,15.244678
-90.812774,15.660118
-91.00475,15.241556
-90.19791,14.78526
-90.2705,14.19517
-90.324139,15.478778
-90.794674,14.317718
-91.51375,14.526944
-90.31757,14.65178
-91.444124,15.000428
-90.118137,15.124806
-90.7767,13.93313
-91.79817,14.8415
-91.913333,14.790861
-91.934431,14.862719
-91.934431,14.862719
-92.003691,14.93474
-91.665114,14.238471
-90.66684,14.56502
-89.770131,14.521145
-89.77013,14.52115
-91.953917,14.930139
-90.234417,13.807306
-90.5087,14.58195
-90.74186,14.55788
-89.866468,15.519499
-90.452608,14.55208
-90.482778,14.681833
-90.50993,14.59573
-92.031528,14.662889
-89.544461,14.807098
-91.528718,16.063824
-90.50847,14.590953
-90.46023,14.62947
-89.53423,14.8229
-89.534234,14.822898
-90.816226,14.659885
-90.551496,14.660731
-90.487885,15.367949
-89.01327,15.66471
-90.50478,14.626811
-90.51118,14.5469
-90.553105,14.669912
-90.56721,14.62708
-89.45444,14.52056
-90.66122,14.60749
-90.66122,14.60749
-90.802524,13.931434
-91.857933,14.700337
-91.625778,14.584444
-91.02998,15.3363
-91.624277,14.996885
-90.78607611,14.51235244
-89.97649,14.62494
-90.578028,14.526556
-90.624,14.52436
-90.624002,14.524358
-90.473235,14.656816
-90.356309,14.668749
-90.356309,14.668749
-90.4667,14.60097
-90.580842,14.69444
-90.48965,14.58871
-90.60109,14.59733
-89.15756,17.06344
-89.15756,17.06344
-89.37117,16.22567
-90.54536,14.62654
-90.48874,14.69326
-91.46997,14.17278
-90.485795,14.57213
-89.35833,14.83661
-91.963744,15.418309
-91.40356,14.84981
-91.938889,14.596775
-90.35769,14.05892
-92.078894,14.758417
-92.083028,14.953833
-89.523445,14.959055
-89.523445,14.959055
-89.523445,14.959055
-89.535687,14.793832
-90.51295,14.58523
-90.74003,14.55612
-91.679084,14.521886
-90.47832,14.65104
-90.82104,14.4489
-90.542446,14.621304
-90.68025,14.61364
-90.68025,14.61364
-91.46039,15.31701
-91.46039,15.31701
-91.330185,15.381295
-90.57814,14.34191
-89.99632,14.63721
-91.42722,14.88365
-90.3195,15.480889
-91.847725,15.519836
-91.43343,15.69161
-91.44399,15.6583
-91.593914,15.685808
-91.4832,14.48078
-91.847725,15.519836
-91.847725,15.519836
-91.42851,15.681191
-91.43343,15.69161
-91.593914,15.685808
-90.71375,13.93175
-91.41491,15.72858
-91.43343,15.69161
-91.44399,15.6583
-91.44595,15.60381
-91.44399,15.6583
-88.59879,15.72306
-90.813539,13.92944
-91.42983,15.67144
-91.593914,15.685808
-91.44595,15.60381
-91.44595,15.60381
-91.4608,15.7381
-91.4608,15.7381
-91.41491,15.72858
-91.41491,15.72858
-91.42983,15.67144
-91.42851,15.681191
-91.4608,15.7381
-91.42983,15.67144
-91.42851,15.681191
-90.643213,14.719169
-90.813539,13.92944
-90.813539,13.92944
-91.16759,15.20109
-88.688625,15.551925
-89.7745,14.348001
-88.688625,15.551925
-88.688625,15.551925
-90.563724,14.696325
-91.49845,14.86572
-91.49845,14.86572
-91.643968,14.811018
-91.643968,14.811018
-91.643968,14.811018
-91.862484,14.693768
-91.631107,15.068185
-91.549191,15.164046
-91.549191,15.164046
-91.51809,14.83071
-91.51809,14.83071
-91.51809,14.83071
-91.51809,14.83071
-91.51809,14.83071
-91.51809,14.83071
-91.880313,14.673596
-91.880313,14.673596
-90.46889,14.66475
-90.46889,14.66475
-90.621139,14.705839
-90.621139,14.705839
-90.621139,14.705839
-90.621139,14.705839
-90.8924,14.9892
-90.8924,14.9892
-90.8924,14.9892
-90.35671,14.67574
-91.604167,14.605972
-91.57472,14.60668
-91.574717,14.606683
-91.57472,14.60668
-91.693561,14.614
-91.69356,14.614
-91.69356,14.614
-91.69356,14.614
-91.579283,14.631733
-91.675472,14.531944
-91.152056,15.033333
-91.770635,15.649888
-91.735,15.73019
-91.735,15.730194
-91.735,15.73019
-91.311109,15.808163
-91.31111,15.80816
-88.62644,15.68449
-89.90833,16.91017
-91.40356,14.84981
-91.664744,14.547598
-91.529639,14.853556
-91.529639,14.853556
-91.529639,14.853556
-91.512418,14.853895
-91.512418,14.853895
-91.512418,14.853895
-91.512418,14.853895
-91.512418,14.853895
-91.512418,14.853895
-90.583774,14.529462
-90.583774,14.529462
-90.583774,14.529462
-90.59855,14.53918
-90.59855,14.53918
-90.598552,14.539184
-90.611413,14.543962
-90.611413,14.543962
-90.61141,14.54396
-90.61141,14.54396
-90.61141,14.54396
-90.61141,14.54396
-90.61141,14.54396
-90.5558,14.61314
-90.5558,14.61314
-90.544872,14.534275
-90.576424,14.615182
-91.367225,14.911734
-89.35479,14.583135
-91.53615,14.843517
-91.536138,14.843509
-91.536138,14.843509
-91.536138,14.843509
-91.536138,14.843509
-91.536138,14.843509
-91.520167,14.862135
-91.520167,14.862135
-91.520167,14.862135
-91.520167,14.862135
-91.520167,14.862135
-91.520167,14.862135
-91.520167,14.862135
-91.512418,14.853895
-91.512418,14.853895
-91.540917,14.862466
-91.540917,14.862466
-91.540917,14.862466
-91.540917,14.862466
-91.540917,14.862466
-91.540917,14.862466
-91.540917,14.862466
-91.540917,14.862466
-91.677817,14.799767
-91.500944,14.818889
-91.500944,14.818889
-91.500944,14.818889
-91.500944,14.818889
-88.61759,15.683037
-88.61759,15.683037
-91.22615,14.64068
-90.19769,14.79069
-90.584254,14.542319
-91.887572,14.66445
-91.887572,14.66445
-91.847669,14.701519
-91.52361,14.83122
-91.52361,14.83122
-91.52361,14.83122
-91.52361,14.83122
-91.52361,14.83122
-91.52361,14.83122
-91.52361,14.83122
-91.52361,14.83122
-91.86543,14.70518
-91.86543,14.70518
-91.86543,14.70518
-91.86543,14.70518
-91.51406,14.84105
-91.51406,14.84105
-91.51406,14.84105
-91.51406,14.84105
-91.51406,14.84105
-91.51406,14.84105
-91.52693,14.862549
-91.52693,14.862549
-91.52693,14.862549
-91.52693,14.862549
-91.52693,14.862549
-91.52693,14.862549
-91.613819,14.871061
-91.613819,14.871061
-91.613819,14.871061
-91.152056,15.033333
-91.152056,15.033333
-91.152056,15.033333
-91.24878,15.01542
-91.140306,15.007
-91.112,14.933417
-91.112,14.933417
-91.155583,15.236
-90.8924,14.9892
-90.8924,14.9892
-90.8924,14.9892
-90.610194,14.578268
-90.610194,14.578268
-90.610194,14.578268
-90.63741,14.54288
-90.63741,14.54288
-90.583774,14.529462
-90.58656,14.69271
-90.48264,14.60943
-90.48264,14.60943
-90.52981,14.6562
-90.510671,14.600468
-90.590624,14.696548
-90.59062,14.69655
-90.59062,14.69655
-90.59096,14.6965
-90.59096,14.6965
-90.570635,14.520907
-90.570635,14.520907
-90.570635,14.520907
-90.61656,14.54046
-90.61656,14.54046
-90.61656,14.54046
-90.616564,14.540458
-90.616564,14.540458
-90.616564,14.540458
-90.61656,14.54046
-90.44379,14.73188
-90.59487,14.50353
-90.605323,14.790306
-90.605323,14.790306
-90.605323,14.790306
-90.605323,14.790306
-90.559654,14.653678
-90.559654,14.653678
-90.620269,14.548399
-90.620084,14.548558
-90.620269,14.548399
-90.620269,14.548399
-90.620084,14.548558
-90.576254,14.529498
-90.57625,14.5295
-90.60587,14.54271
-90.58971,14.54549
-90.58971,14.54549
-90.57566,14.53734
-90.577544,14.611808
-90.577544,14.611808
-90.57754,14.61181
-90.57754,14.61181
-90.5142,14.66372
-90.58264,14.63149
-90.58264,14.63149
-90.44687,14.47342
-90.4842,14.63493
-90.512106,14.587508
-90.512106,14.587508
-90.512106,14.587508
-90.512106,14.587508
-90.512106,14.587508
-90.99139,14.63217
-90.99029,14.6652
-90.990294,14.665198
-90.99029,14.6652
-90.90959,14.84674
-90.90959,14.84674
-90.900344,14.542288
-90.90034,14.54229
-90.90034,14.54229
-90.900344,14.542288
-90.981104,14.894038
-90.838394,14.627498
-90.838394,14.627498
-90.83839,14.6275
-90.83272,14.66163
-90.83272,14.66163
-89.6289,14.62351
-91.58132,14.52708
-90.615131,14.4892
-91.896417,15.16125
-89.75614,14.42453
-91.859274,14.621688
-88.593833,15.73082
-91.853222,14.565917
-91.643056,14.599139
-91.43997,14.29556
-91.581324,14.527078
-90.24072,14.35275
-91.34361,15.34355
-91.36922,15.3655
-91.28675,15.33936
-91.28675,15.33936
-91.28675,15.33936
-91.136333,15.332056
-91.09,15.34573
-91.05019,15.31108
-91.15428,15.40414
-91.08756,15.43203
-91.07111,15.34125
-91.154056,15.416216
-91.13229,15.43539
-91.76989,14.86712
-91.886583,15.545972
-91.400974,14.536618
-91.40097,14.53662
-89.88912,16.9162
-89.88912,16.9162
-89.889117,16.9162
-89.88912,16.9162
-89.88912,16.9162
-89.89625,15.979783
-91.14156,14.3753
-90.5639,14.54114
-90.5234,14.5795
-90.15916,14.81096
-89.73495,14.648051
-92.133546,14.678019
-90.550357,14.569185
-92.05722,14.910068
-92.05722,14.910068
-91.50744,14.84146
-91.50744,14.84146
-90.2661,15.5167
-90.428253,15.372354
-90.515193,14.619912
-90.51603,14.63206
-90.516034,14.632058
-91.51283,14.55661
-91.924496,15.633667
-91.793612,15.662472
-91.55478,15.74631
-91.406967,16.0724
-91.803889,15.408333
-91.617631,15.390017
-91.617631,15.390017
-91.149874,15.030018
-91.149874,15.030018
-91.149874,15.030018
-91.157246,15.007268
-90.810874,14.994028
-90.665374,14.926618
-89.813814,15.409478
-89.813814,15.409478
-92.03881,14.72342
-91.628611,14.549139
-91.628611,14.549139
-91.69753,14.64247
-91.69753,14.64247
-91.94514281,14.51804911
-91.94514281,14.51804911
-90.388144,14.52917
-90.388144,14.52917
-90.429635,15.376374
-91.785061,15.020361
-90.429635,15.376374
-91.785061,15.020361
-91.785061,15.020361
-90.429635,15.376374
-90.549417,14.61592
-90.549417,14.61592
-90.549417,14.61592
-91.628417,14.278417
-90.72713,14.55455
-90.55402,14.54094
-91.02858,14.33071
-90.53947,14.50981
-91.611638,14.892942
-91.600616,14.931697
-90.54075,17.229472
-90.557226,14.490669
-88.89275,15.32111
-89.68669,16.96834
-91.003744,14.351068
-91.00374,14.35107
-90.540284,14.616438
-90.544361,14.591467
-90.563845,14.640238
-90.563845,14.640238
-90.574782,14.51436
-91.669394,14.806468
-91.669394,14.806468
-91.49845,14.86572
-91.49845,14.86572
-91.49845,14.86572
-90.485977,14.682842
-89.6289,14.62351
-90.615131,14.4892
-91.34361,15.34355
-91.34361,15.34355
-91.38136,15.3345
-91.136333,15.332056
-91.20958,15.40522
-91.15723,15.45134
-91.15723,15.45134
-91.03487,15.2602
-91.188354,15.280788
-90.6067,14.52367
-91.896417,15.16125
-89.00453,15.31567
-90.7767,13.93313
-88.593833,15.73082
-89.71977,15.01292
-91.24278,15.36183
-91.07111,15.34125
-91.091742,15.290488
-91.091742,15.290488
-91.32,15.33639
-91.188354,15.280788
-92.029194,15.372389
-92.0344,14.7229
-91.886583,15.545972
-90.464343,14.563882
-91.42153,14.5013
-91.859274,14.621688
-92.0344,14.7229
-91.40097,14.53662
-91.853222,14.565917
-92.029194,15.372389
-92.0157,15.51057
-91.38136,15.3345
-91.09819,15.46455
-91.09819,15.46455
-91.05019,15.31108
-91.05019,15.31108
