,pais,idnum,uniq_id,upm,prov,municipio,cluster,ur,tamano,idiomaq,fecha,wt,estratopri,estratosec,q2,q1,nationality,ls3,a4,soct2,idio2,np1,sgl1,cp6,cp7,cp8,cp13,cp20,it1,l1,prot3,prot4,guaprot1,jc10,jc13,jc15a,vic1ext,vic1exta,arm2,vic71,vic72,vic73,vic40a,vic74,fear6fa,vic41,vic43,vic45n,vicbar4a,pole2nn,aoj11,pese1,pese2,aoj17,aoj12,seg10,b1,b2,b3,b4,b6,b43,b11,b12,b13,b18,b21,b21a,b32,b17,b37,b47a,b15,b50,b60,polegit1,polegit2,polegit3,polegit4,epp3,m1,m2,sd2new2,sd3new2,sd6new2,infrax,infra3,ros1,ros4,ing4,eff1,eff2,aoj22new,polegit5,media3,media4,exp_a,dst1b,drk1,env1c,env2b,pn4,w14a,e5,e16,d1,d2,d3,d4,d5,d6,lib1,lib2b,lib2c,lib4,dem11,exc2,exc6,exc20,exc11,exc13,exc14,exc15,exc16,exc18,exc7new,vicbar1,vicbar1f,vicbar3,vicbar3f,vicbarf,vicbar7,vicbar7f,fear11,capital1,iga1,igaaoj22,vb1,inf1,vb2,vb3n,vb10,vb11,pol1,vb20,dis7a,dis8a,dis9a,dis10a,dis11a,soc1,soc4,soc5,soc8,soc9,for5,for6b,for7b,exp_b,mil10a,mil10e,mil10oas,mil10un,guaelep1,guaref1,guaref2,guaref3,guapv1,guapv2,guapv3,guadv1,guapv4,guapv5,guadv2,guamil7,guadv3,guafie2,guafie3,guafie4,wf1,cct1b,ed,ed2,q5a,q5b,q3c,ocup4a,ocup1a,q10g,q10new,q10a,q14,guamig1,q14a,q10d,q10e,q11n,q12c,q12bn,q12,vac1,etid,www1,gi0,pr1,r3,r4,r4a,r5,r6,r7,r8,r12,r14,r15,r18,r1,r16,r26,inf3a,colorr,conocim,iarea1,iarea2,iarea3,iarea4,iarea5,iarea6,iarea7,sexi,colori,srvyrid,formatq,sex
1471,2,484,16020484,10107,201,200101,28,1,1,1,2017-03-02,1,201,1,65,1,2,1,57,2,2,2,2,1,4,4,4,.c,2,6,2,.c,2,2,.c,2,2,.c,2,1,0,0,0,1,0,0,0,0,0,2,2,3,2,2,2,0,5,3,2,2,7,7,4,5,3,2,3,4,5,3,4,3,5,3,2,2,3,2,3,2,5,4,3,3,4,5,5,2,7,6,5,6,7,6,1,2,2,7,4,7,2,4,2,8,7,6,5,3,4,2,2,3,3,1,1,2,0,0,0,.c,0,.c,.c,.c,0,3,2,.c,2,.c,0,2,.c,2,1,1,1,1,1,1,201,2,.c,4,3,2,2,2,2,2,1,2,2,2,1,7,1,5,1,.a,.a,2,2,5,5,3,2,3,2,2,0,0,0,0,1,0,1,1,1,2,2,11,2,2,1,1,6,.c,5,15,2,2,.c,2,2,1,6,4,0,4,2,2,4,3,2,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,5,2,3,3,4,1,1,1,1,1,4,25,4,1
1472,2,959,16020959,1404,214,201404,128,1,4,1,2017-03-02,1,203,3,22,1,2,1,4,2,2,2,2,4,4,4,4,.c,3,8,2,.c,2,2,.c,2,2,.c,2,0,0,0,0,0,0,0,0,0,0,2,1,2,2,4,2,2,4,5,4,7,7,7,4,4,2,4,1,5,7,5,5,4,6,6,6,4,3,3,4,1,2,3,3,2,3,5,1,4,5,4,5,2,4,3,5,7,2,5,2,4,1,2,1,5,6,1,1,1,1,1,1,1,1,1,1,2,0,0,0,.c,0,.c,.c,.c,0,4,.a,.c,.a,.c,0,2,.c,4,1,4,1,1,1,1,.b,2,.c,4,1,2,2,2,2,2,3,1,2,1,2,2,3,4,1,2,3,2,2,3,5,2,1,3,1,1,0,0,0,0,0,0,1,1,1,2,2,12,3,5,2,1,2,1,14,15,2,2,.c,2,2,2,1,4,0,0,.c,2,2,1,2,1,1,1,0,0,1,1,1,1,1,0,1,1,1,2,4,3,1,1,1,2,1,1,1,2,4,4,4,1
1473,2,129,16020129,10102,201,200101,7,1,1,1,2017-03-24,1,201,1,51,2,2,.b,1,3,3,2,4,1,2,4,4,1,3,8,2,.c,2,.c,1,2,1,3,2,1,1,1,1,1,1,1,1,0,0,3,4,3,3,3,4,.a,4,7,3,6,7,7,4,6,2,1,3,1,4,2,6,6,4,3,7,3,3,2,1,1,3,3,2,3,3,.b,.b,3,6,5,2,4,6,2,6,5,2,6,3,6,.b,3,.b,7,9,4,9,6,8,4,1,2,1,1,1,.b,0,0,0,.c,.c,.c,.c,1,0,5,2,.c,1,1,0,2,.c,2,1,1,1,2,1,2,.c,2,.c,1,.b,.b,1,2,2,2,4,3,2,.b,2,4,1,2,2,.a,3,.a,3,5,5,3,1,3,1,.b,1,1,0,0,1,0,0,1,1,2,2,3,0,1,.b,1,3,.c,.c,.b,2,1,1,1,4,3,3,6,2,5,1,.b,5,2,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,1,3,3,3,3,4,3,2,1,1,2,3,10,4,2
1474,2,1365,16021365,401,204,200401,72,1,2,1,2017-04-18,1,203,2,73,2,2,1,4,2,2,2,2,2,4,3,4,4,1,5,2,.c,2,2,.c,2,2,.c,2,0,0,0,0,.c,.c,0,0,0,0,2,3,2,2,4,1,0,5,6,.a,4,7,7,6,7,7,6,3,7,7,7,7,6,7,6,7,4,5,5,6,5,2,3,3,.c,2,2,2,.a,5,.a,7,.a,4,6,5,4,1,6,4,4,1,2,1,6,3,3,6,.a,.a,10,1,1,2,2,2,2,0,0,0,.c,.c,.c,.c,.c,0,.a,2,.c,2,.c,0,2,.c,2,2,1,2,1,1,1,.a,2,.c,4,1,2,2,2,2,2,1,1,2,.a,2,13,1,2,2,.a,.a,.a,.a,2,5,2,1,.a,2,.a,0,.a,.a,0,1,0,0,1,1,2,2,6,0,3,1,1,7,.c,.c,1,2,2,.c,2,3,2,1,2,0,2,1,2,5,1,2,1,0,1,0,0,0,0,0,1,0,0,1,0,1,2,7,4,2,4,2,1,1,1,1,1,6,11,4,2
1475,2,813,16020813,10101,201,200101,4,1,1,1,2017-02-23,1,201,1,43,1,2,3,5,3,1,1,5,4,2,2,4,.c,3,10,1,12,1,.c,1,1,1,4,2,0,0,0,1,1,1,1,1,1,1,4,4,2,3,1,4,77,5,4,5,2,7,7,6,5,7,5,2,1,7,7,7,7,6,5,7,6,7,4,5,7,5,5,4,2,4,2,2,1,4,7,1,7,7,7,6,6,2,7,4,7,1,3,1,10,2,5,10,5,10,1,1,1,1,1,1,1,0,0,0,.c,0,.c,.c,.c,0,4,1,2,1,1,0,1,3,1,2,1,1,1,1,1,213,2,.c,2,4,2,2,2,2,2,1,3,2,2,1,4,1,1,2,4,1,1,1,2,3,4,1,3,1,2,0,0,1,0,1,0,0,1,1,2,2,16,0,5,1,1,1,3,5,9,1,2,.c,2,1,3,1,8,2,0,.c,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,4,2,1,2,1,1,4,25,4,1
1476,2,848,16020848,2211,222,202211,249,1,4,1,2017-03-21,1,206,3,64,2,2,1,57,3,1,1,2,1,2,2,4,1,3,10,2,.c,2,.c,2,2,2,.c,2,1,1,0,1,0,0,1,0,0,0,4,4,3,2,3,2,1,6,3,6,2,1,7,1,5,2,1,3,2,6,5,3,1,4,5,7,2,4,2,3,4,3,2,2,2,4,2,1,2,1,4,3,2,6,4,5,6,1,7,3,7,1,3,1,9,8,9,5,7,2,1,1,3,3,3,1,1,0,0,0,0,.c,.c,0,.c,0,4,1,2,2,.c,0,2,.c,3,1,1,2,1,1,1,203,2,.c,4,2,2,2,2,2,2,1,2,2,3,1,4,1,2,2,.a,3,.a,.a,5,3,2,1,3,2,2,0,0,0,0,1,0,0,0,0,2,2,5,1,1,1,5,5,.c,.c,8,2,2,.c,2,2,2,2,6,1,4,1,2,3,1,2,1,0,1,0,0,0,0,1,1,1,0,1,0,1,1,5,2,2,1,1,1,1,1,1,1,7,2,4,2
1477,2,348,16020348,919,209,200919,205,1,4,1,2017-05-02,1,206,3,42,1,2,1,13,3,3,1,1,1,3,2,4,.c,1,10,2,.c,2,2,.c,2,2,.c,2,0,1,1,0,1,0,0,0,0,0,2,1,3,3,3,3,1,2,7,2,4,7,7,2,5,2,3,1,4,7,2,5,4,3,4,7,4,3,3,4,1,3,5,3,3,3,4,1,4,7,6,2,4,7,4,5,6,1,4,2,.b,1,2,1,10,5,10,10,10,10,10,1,1,1,1,1,2,0,0,0,0,0,.c,0,0,0,5,1,3,1,1,0,2,.c,4,1,1,.b,1,1,1,202,2,.c,2,3,2,2,2,2,2,3,1,1,1,2,4,1,3,2,.a,2,3,3,2,1,5,1,3,1,2,0,1,0,0,1,0,0,1,1,2,.a,6,1,1,1,5,1,4,10,10,2,2,.c,2,3,3,3,16,10,3,1,3,2,2,3,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,6,2,1,1,3,2,1,1,1,2,4,17,4,1
1478,2,173,16020173,107,201,200107,35,2,5,1,2017-03-22,1,201,3,45,2,2,1,14,3,3,2,.a,2,2,4,4,4,4,5,2,.c,2,.c,1,2,2,.c,2,0,0,0,1,1,1,1,0,0,0,.b,.b,1,1,1,1,0,4,5,3,.b,2,7,4,6,3,5,2,1,6,7,5,3,4,3,1,3,2,5,6,4,4,5,3,3,4,.b,.b,2,1,2,5,3,7,4,5,4,2,4,2,4,1,3,1,4,10,5,4,6,2,5,1,3,1,1,1,1,0,0,0,.c,.c,.c,.c,0,0,3,1,2,2,.c,1,1,3,1,1,3,2,1,1,1,202,2,.c,1,1,2,2,2,2,2,1,.b,2,3,2,4,1,2,2,.a,3,.a,.a,4,5,5,1,2,1,1,0,1,0,0,1,0,0,1,1,2,2,2,0,2,1,1,7,.c,.c,10,2,.a,.c,2,1,1,2,8,3,6,1,3,5,1,2,0,0,0,0,0,1,0,1,.b,0,0,1,1,0,2,5,3,2,2,2,1,1,1,1,2,3,10,4,2
1479,2,914,16020914,107,201,200107,33,1,1,1,2017-03-21,1,201,3,18,2,2,1,5,1,1,2,2,1,2,4,4,4,1,3,2,.c,2,1,.c,2,1,2,2,1,1,1,1,1,0,1,0,1,1,2,3,3,2,3,4,1,2,1,2,3,1,7,4,7,2,5,1,6,7,7,6,4,6,5,7,5,4,3,3,2,2,3,2,2,3,3,3,4,7,5,4,4,7,7,5,4,1,7,4,5,1,3,1,4,3,7,5,4,3,5,3,1,1,1,1,2,0,0,0,.c,.c,.c,0,.c,1,5,1,3,1,2,0,2,.c,2,1,1,1,2,1,2,.c,2,.c,4,4,2,2,2,2,2,1,2,1,3,1,12,1,2,2,.a,4,.a,.a,5,5,5,1,3,2,2,0,0,0,0,1,0,1,1,1,2,2,10,2,2,1,1,5,.c,.c,12,1,1,1,2,2,2,1,5,1,0,.c,2,1,1,2,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,2,3,1,2,4,2,2,2,4,1,4,23,4,2
1480,2,734,16020734,1204,212,201204,100,1,4,1,2017-03-27,1,203,3,26,1,2,2,3,3,3,2,3,4,4,3,4,.c,1,3,2,.c,2,.c,2,2,2,.c,1,0,0,0,0,1,.b,0,0,.c,0,2,2,3,3,4,3,0,3,5,3,7,5,7,4,6,3,5,2,1,2,4,2,3,4,4,6,4,4,5,4,6,5,4,4,3,3,2,1,7,7,5,1,4,7,5,4,1,2,4,3,1,1,3,1,10,10,6,6,1,6,10,7,2,1,1,3,2,0,0,0,.c,.c,.c,.c,.c,0,5,2,.c,1,2,0,2,.c,2,1,4,1,1,1,1,201,1,223,3,3,1,2,1,2,2,3,3,1,3,1,2,1,4,2,.a,4,.a,2,3,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,2,2,12,2,5,4,.b,3,.c,.c,4,1,1,1,2,3,3,1,4,0,0,.c,3,1,1,2,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,4,3,2,2,2,1,1,1,1,1,2,27,4,1
